ime,ocena,naslov
Pilsner Urquell Nefiltrovan\xc3\xbd,4.0,/beer/pilsner-urquell-nefiltrovany/44956/58936/
Great Notion Double Stack Northwest Breakfast Stout,4.0,/beer/great-notion-double-stack-northwest-breakfast-stout/396436/80641/
Unibroue Quelque Chose,3.9,/beer/unibroue-quelque-chose/1924/104498/
Sierra Nevada Hoptimum,4.0,/beer/sierra-nevada-hoptimum/117825/348022/
Tired Hands MagoTago,4.0,/beer/tired-hands-magotago/205427/31748/
Bell\xc2\x92s Special Double Cream Stout,4.0,/beer/bells-special-double-cream-stout/3212/67064/
Avery Pump[KY]n,3.8,/beer/avery-pumpkyn/287723/80641/
Perrin No Rules Vietnamese Porter,3.2,/beer/perrin-no-rules-vietnamese-porter/351067/104498/
Unibroue Quelque Chose,4.0,/beer/unibroue-quelque-chose/1924/229832/
Unibroue Quelque Chose,3.7,/beer/unibroue-quelque-chose/1924/104537/
Half Acre Akari Shogun,3.7,/beer/half-acre-akari-shogun/175388/80641/
Trillium Scaled,4.1,/beer/trillium-scaled/377675/80641/
Cloudwater / Burning Sky Old Garde &#40;Red Wine Barrel Aged&#41;,3.0,/beer/cloudwater--burning-sky-old-garde-red-wine-barrel-aged/418382/32589/
Jack\xc2\x92s Abby Excess IPL,3.9,/beer/jacks-abby-excess-ipl/329280/80641/
Unibroue Quelque Chose,4.0,/beer/unibroue-quelque-chose/1924/339387/
Sierra Nevada / Mahrs Br\xc3\xa4u Oktoberfest &#40;2016&#41;,3.0,/beer/sierra-nevada--mahrs-brau-oktoberfest-2016/439036/293725/
Ballast Point Victory at Sea ,4.7,/beer/ballast-point-victory-at-sea/100542/397860/
Auval Super A Double IPA,4.5,/beer/auval-super-a-double-ipa/384097/345657/
Tired Hands Communication is the Key Lime Pie,4.1,/beer/tired-hands-communication-is-the-key-lime-pie/236925/31748/
Modern Times Blazing World,3.9,/beer/modern-times-blazing-world/218227/241596/
Perrin No Rules Vietnamese Porter,3.7,/beer/perrin-no-rules-vietnamese-porter/351067/301330/
Monkish Haiku De Saison,2.9,/beer/monkish-haiku-de-saison/368328/11905/
